Approved Symbol	Approved Name	Previous Symbols	Synonyms	Entrez Gene ID	RefSeq IDs
GTF2IP2	general transcription factor IIi pseudogene 2			338448	
GTF2IP3	general transcription factor IIi pseudogene 3			645686	NG_023043
GTF2IP4	general transcription factor IIi pseudogene 4			100093631	
GTF2IP5	general transcription factor IIi pseudogene 5			100420546	
GTF2IP6	general transcription factor IIi pseudogene 6			101927390	
GTF2IP7	general transcription factor IIi pseudogene 7				
GTF2IP8	general transcription factor IIi pseudogene 8			101927717	
GTF2IP9	general transcription factor IIi pseudogene 9				
GTF2IP10	general transcription factor IIi pseudogene 10				
GTF2IP11	general transcription factor IIi pseudogene 11				
GTF2IP12	general transcription factor IIi pseudogene 12				
GTF2IP13	general transcription factor IIi pseudogene 13				
GTF2IP14	general transcription factor IIi pseudogene 14				
GTF2IP15	general transcription factor IIi pseudogene 15				
GTF2IP16	general transcription factor IIi pseudogene 16				
GTF2IP17	general transcription factor IIi pseudogene 17				
GTF2IP18~withdrawn	symbol withdrawn, see FAM157A				
GTF2IP19	general transcription factor IIi pseudogene 19				
GTF2IP20	general transcription factor IIi pseudogene 20			441124	
GTF2IP21	general transcription factor IIi pseudogene 21				
GTF2IP22	general transcription factor IIi pseudogene 22				
GTF2IP23	general transcription factor IIi pseudogene 23				
GTF2IRD1	GTF2I repeat domain containing 1	WBSCR11	MusTRD1, RBAP2, GTF3, WBSCR12, BEN, Cream1	9569	NM_016328
GTF2IRD1P1	GTF2I repeat domain containing 1 pseudogene 1			729156	NR_003934
GTF2IRD2	GTF2I repeat domain containing 2		FLJ37938, GTF2IRD2A	84163	NM_173537
GTF2IRD2B	GTF2I repeat domain containing 2B			389524	NM_001003795
GTF2IRD2P1	GTF2I repeat domain containing 2 pseudogene 1	GTF2IRD2P		401375	NR_002164
GTF3A	general transcription factor IIIA		TFIIIA, AP2	2971	NM_002097
GTF3AP1	general transcription factor IIIA pseudogene 1			100135064	NG_007341
GTF3AP2	general transcription factor IIIA pseudogene 2				
GTF3AP3	general transcription factor IIIA pseudogene 3				
GTF3AP4	general transcription factor IIIA pseudogene 4			100420593	NG_024707
GTF3AP5	general transcription factor IIIA pseudogene 5			100128217	NG_022529
GTF3AP6	general transcription factor IIIA pseudogene 6			100135063	NG_007340
GTF3B~withdrawn	symbol withdrawn, see BRF1				
GTF3BAP1~withdrawn	entry withdrawn				
GTF3BAP2~withdrawn	entry withdrawn				
GTF3BAP3~withdrawn	entry withdrawn				
GTF3C1	general transcription factor IIIC subunit 1		TFIIIC220	2975	NM_001520
GTF3C2	general transcription factor IIIC subunit 2		KIAA0011, TFIIIC110	2976	
GTF3C2-AS1	GTF3C2 antisense RNA 1			100505624	
GTF3C3	general transcription factor IIIC subunit 3		TFiiiC2-102, TFIIIC102	9330	
GTF3C4	general transcription factor IIIC subunit 4		TFIIIC90, KAT12	9329	
GTF3C5	general transcription factor IIIC subunit 5		TFiiiC2-63, TFIIIC63, TFIIICepsilon	9328	NM_001122823
GTF3C6	general transcription factor IIIC subunit 6	C6orf51	bA397G5.3, TFIIIC35	112495	NM_138408
GTPBP1	GTP binding protein 1		GP-1, HSPC018	9567	NM_004286
GTPBP2	GTP binding protein 2			54676	
GTPBP3	GTP binding protein 3, mitochondrial		MSS1, THDF1, GTPBG3, MTGP1, FLJ14700	84705	NM_032620
GTPBP4	GTP binding protein 4		CRFG, NGB, FLJ10690, FLJ10686, NOG1	23560	NM_012341
GTPBP6	GTP binding protein 6 (putative)		PGPL, FLJ20977	8225	NM_012227
GTPBP8	GTP binding protein 8 (putative)		HSPC135	29083	NM_014170
GTPBP10	GTP binding protein 10		DKFZP686A10121, FLJ38242, OBGH2	85865	NM_033107
GTS	Gilles de la Tourette syndrome			2973	
GTSCR1	Gilles de la Tourette syndrome chromosome region, candidate 1			220158	
GTSE1	G2 and S-phase expressed 1		GTSE-1, B99	51512	NM_016426
GTSE1-DT	GTSE1 divergent transcript	GTSE1-AS1		150384	NR_024009
GTSF1	gametocyte specific factor 1	FAM112B	FLJ32942	121355	NM_144594
GTSF1L	gametocyte specific factor 1 like	C20orf65, FAM112A	dJ1028D15.4	149699	NM_176791
GUC1A2~withdrawn	symbol withdrawn, see GUCY1A2				
GUC1A3~withdrawn	symbol withdrawn, see GUCY1A1				
GUC1A4~withdrawn	symbol withdrawn, see GUCY2D				
GUC1B3~withdrawn	symbol withdrawn, see GUCY1B1				
GUC2C~withdrawn	symbol withdrawn, see GUCY2C				
GUC2D~withdrawn	symbol withdrawn, see GUCY2D				
GUCA1A	guanylate cyclase activator 1A	GUCA, GUCA1, C6orf131	GCAP, GCAP1, COD3, dJ139D8.6, CORD14	2978	
GUCA1B	guanylate cyclase activator 1B		GCAP2, RP48	2979	NM_002098
GUCA1C	guanylate cyclase activator 1C		GCAP3	9626	NM_005459
GUCA2~withdrawn	symbol withdrawn, see GUCA2A				
GUCA2A	guanylate cyclase activator 2A	GUCA2	STARA	2980	NM_033553
GUCA2B	guanylate cyclase activator 2B			2981	NM_007102
GUCD1	guanylyl cyclase domain containing 1	C22orf13	MGC1842, LLN4	83606	NM_031444
GUCY1A1	guanylate cyclase 1 soluble subunit alpha 1	GUC1A3, GUCY1A3	GC-SA3	2982	
GUCY1A2	guanylate cyclase 1 soluble subunit alpha 2	GUC1A2	GC-SA2	2977	NM_001256424
GUCY1B1	guanylate cyclase 1 soluble subunit beta 1	GUC1B3, GUCY1B3	GC-SB3, GC-S-beta-1	2983	
GUCY1B2	guanylate cyclase 1 soluble subunit beta 2 (pseudogene)		GC-SB2	2974	
GUCY2C	guanylate cyclase 2C	GUC2C	STAR	2984	NM_004963
GUCY2D	guanylate cyclase 2D, retinal	CORD6, LCA, GUC2D, GUC1A4	retGC, RETGC-1, ROS-GC1, CYGD, LCA1	3000	NM_000180
GUCY2EP	guanylate cyclase 2E, pseudogene	GUCY2E	GC-E	390226	NR_024042
GUCY2F	guanylate cyclase 2F, retinal		GUC2DL, GC-F, RetGC-2, ROS-GC2, CYGF	2986	NM_001522
GUCY2GP	guanylate cyclase 2G, pseudogene	GUCY2G		390003	XM_497249
GUD~withdrawn	symbol withdrawn, see WT1				
GUF1	GUF1 homolog, GTPase		FLJ13220	60558	NM_021927
GUK1	guanylate kinase 1			2987	NM_000858
GUK2	guanylate kinase 2			2988	
GULOP	gulonolactone (L-) oxidase, pseudogene		GULO, scurvy	2989	NG_001136
GULP1	GULP PTB domain containing engulfment adaptor 1		CED6, CED-6, GULP	51454	NM_016315
GUSB	glucuronidase beta			2990	NM_000181
GUSBP1	glucuronidase, beta pseudogene 1			728411	NG_008324
GUSBP2	glucuronidase, beta pseudogene 2	SMAC3L2, GUSBL1	bA239L20.5, bA239L20.1, SMA3-L, bGLU-Lp, SMAC3L	387036	
GUSBP3	glucuronidase, beta pseudogene 3			653188	NR_027386
GUSBP4	glucuronidase, beta pseudogene 4	C6orf216, SMAC3L, GUSBL2	SMA3-L, FLJ13549	375513	NR_003660
GUSBP5	glucuronidase, beta pseudogene 5			441046	
GUSBP6	glucuronidase, beta pseudogene 6				
GUSBP7	glucuronidase, beta pseudogene 7			100132456	
GUSBP8	glucuronidase, beta pseudogene 8			441066	
GUSBP9	glucuronidase, beta pseudogene 9			100049076	
GUSBP10	glucuronidase, beta pseudogene 10			642006	
GUSBP11	glucuronidase, beta pseudogene 11			91316	
GUSBP12	glucuronidase, beta pseudogene 12			642007	
GUSM~withdrawn	entry withdrawn				
GVINP1	GTPase, very large interferon inducible pseudogene 1	GVIN1, GVIN1P	VLIG-1, FLJ13373, VLIG1	387751	NR_003945
GVINP2	GTPase, very large interferon inducible pseudogene 2			100128135	XR_078437
GVQW1	GVQW motif containing 1	TIGD1L2	bA205M20.5	101362076	
GVQW2	GVQW motif containing 2			100507462	
GVQW3	GVQW motif containing 3			100506127	NM_001282456
GXP1~withdrawn	symbol withdrawn, see UBA1				
GXYLT1	glucoside xylosyltransferase 1	GLT8D3	FLJ43151	283464	XM_290597
GXYLT1P1	glucoside xylosyltransferase 1 pseudogene 1			100101111	
GXYLT1P2	glucoside xylosyltransferase 1 pseudogene 2			441958	
GXYLT1P3	glucoside xylosyltransferase 1 pseudogene 3			100132541	NG_021650
GXYLT1P4	glucoside xylosyltransferase 1 pseudogene 4			100132441	NG_021615
GXYLT1P5	glucoside xylosyltransferase 1 pseudogene 5			100131760	NG_021619
GXYLT1P6	glucoside xylosyltransferase 1 pseudogene 6			100132672	NG_021660
GXYLT2	glucoside xylosyltransferase 2	GLT8D4		727936	NM_001080393
GYG1	glycogenin 1	GYG		2992	NM_004130
GYG1P1	glycogenin 1 pseudogene 1			100132965	
GYG1P2	glycogenin 1 pseudogene 2			647317	
GYG1P3	glycogenin 1 pseudogene 3			645506	
GYG2	glycogenin 2		GN-2	8908	NM_003918
GYG2-AS1	GYG2 antisense RNA 1				
GYG2P1	glycogenin 2 pseudogene 1	GYG2P		352887	NG_002811
GYG2P2	glycogenin 2 pseudogene 2			100418892	NG_027191
GYPA	glycophorin A (MNS blood group)	MNS	GPA, MN, CD235a	2993	NM_002099
GYPB	glycophorin B (MNS blood group)	MNS	GPB, SS, CD235b	2994	NM_002100
GYPC	glycophorin C (Gerbich blood group)		GPC, GYPD, Ge, CD236, CD236R	2995	NM_002101
GYPE	glycophorin E (MNS blood group)		GPE, MNS	2996	NM_002102
GYS1	glycogen synthase 1	GYS	GSY	2997	NM_002103
GYS2	glycogen synthase 2			2998	NM_021957
GZF1	GDNF inducible zinc finger protein 1	ZNF336	dJ322G13.2, ZBTB23	64412	NM_022482
GZMA	granzyme A	HFSP, CTLA3		3001	NM_006144
GZMAP1	granzyme A pseudogene 1				
GZMB	granzyme B	CTLA1, CSPB	CCPI, CGL-1, CSP-B, CGL1, CTSGL1, HLP, SECT	3002	NM_004131
GZMH	granzyme H	CTSGL2	CGL-2, CCP-X, CTLA1, CSP-C	2999	NM_033423
GZMK	granzyme K		TRYP2, PRSS	3003	NM_002104
GZMM	granzyme M		MET1, LMET1	3004	NM_005317
H1F0	H1 histone family member 0	H1FV	H10	3005	NM_005318
H1FNT	H1 histone family member N, testis specific		HANP1, H1T2	341567	NM_181788
H1FOO	H1 histone family member O oocyte specific			132243	NM_153833
H1FV~withdrawn	symbol withdrawn, see H1F0				
H1FX	H1 histone family member X		MGC15959, MGC8350, H1X	8971	NM_006026
H1FX-AS1	H1FX antisense RNA 1	C3orf47	FLJ34151	339942	NR_026991
H2A~withdrawn	symbol withdrawn, see HIST2H2AC				
H2AFB1	H2A histone family member B1			474382	NM_001017990
H2AFB2	H2A histone family member B2			474381	NM_001017991
H2AFB3	H2A histone family member B3	H2AFB		83740	NM_080720
H2AFJ	H2A histone family member J		FLJ10903, MGC921	55766	NM_177925
H2AFK~withdrawn	symbol withdrawn, see HIST1H2APS4				
H2AFV	H2A histone family member V	H2AV	MGC10170, MGC10831, MGC1947	94239	NM_012412
H2AFVP1	H2A histone family member V pseudogene 1	H2AFVP	HsT19970	654500	NG_009543
H2AFX	H2A histone family member X	H2AX		3014	NM_002105
H2AFY	H2A histone family member Y		macroH2A1.2	9555	NM_004893
H2AFY2	H2A histone family member Y2		macroH2A2	55506	NM_018649
H2AFZ	H2A histone family member Z	H2AZ	H2A.Z	3015	NM_002106
H2AFZP1	H2A histone family member Z pseudogene 1	H2AFZP		54049	NG_000922
H2AFZP2	H2A histone family member Z pseudogene 2			346990	NG_005179
H2AFZP3	H2A histone family member Z pseudogene 3			728023	NG_011430
H2AFZP4	H2A histone family member Z pseudogene 4			100462795	
H2AFZP5	H2A histone family member Z pseudogene 5			100288330	
H2AFZP6	H2A histone family member Z pseudogene 6			100462800	
H2AX~withdrawn	symbol withdrawn, see H2AFX				
H2AZ~withdrawn	symbol withdrawn, see H2AFZ				
H2B~withdrawn	symbol withdrawn, see HIST2H2BE				
H2BFM	H2B histone family member M			286436	XM_210048
H2BFO~withdrawn	symbol withdrawn, see HIST2H2BD				
H2BFS	H2B histone family member S			54145	NG_006504
H2BFWT	H2B histone family member W, testis specific			158983	NM_001002916
H2BFXP	H2B histone family member X, pseudogene			767811	NR_003238
H3F2~withdrawn	symbol withdrawn, see HIST2H3C				
H3F3A	H3 histone family member 3A	H3F3	H3.3A	3020	NM_002107
H3F3AP1	H3 histone family member 3A pseudogene 1		HsT18159, p48	654505	NG_006444
H3F3AP2	H3 histone family member 3A pseudogene 2		H3F3CP	664611	
H3F3AP3	H3 histone family member 3A pseudogene 3		p18	100689229	NG_029983
H3F3AP4	H3 histone, family 3A, pseudogene 4		p13	440926	NR_002315
H3F3AP5	H3 histone, family 3A, pseudogene 5		p55	347376	NG_029840
H3F3AP6	H3 histone, family 3A, pseudogene 6		p21	644914	NG_022939
H3F3B	H3 histone family member 3B		H3.3B	3021	NM_005324
H3F3BP1	H3 histone, family 3B pseudogene 1		p46	100287087	
H3F3BP2	H3 histone, family 3B pseudogene 2		p51	100420410	NG_026234
H3F3C	H3 histone family member 3C		H3.5	440093	NM_001013699
H3FM~withdrawn	symbol withdrawn, see HIST2H3C				
H4F2~withdrawn	symbol withdrawn, see HIST2H4A				
H4F3~withdrawn	entry withdrawn				
H6PD	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase	GDH		9563	NM_004285
H19	H19, imprinted maternally expressed transcript		D11S813E, ASM, ASM1, NCRNA00008, LINC00008	283120	NR_002196
HAAO	3-hydroxyanthranilate 3,4-dioxygenase			23498	
HABP1~withdrawn	symbol withdrawn, see C1QBP				
HABP2	hyaluronan binding protein 2		HABP, PHBP, HGFAL, FSAP	3026	NM_004132
HABP4	hyaluronan binding protein 4		IHABP4, SERBP1L	22927	NM_014282
HACD1	3-hydroxyacyl-CoA dehydratase 1	PTPLA	CAP	9200	NM_014241
HACD2	3-hydroxyacyl-CoA dehydratase 2	PTPLB		201562	NM_198402
HACD3	3-hydroxyacyl-CoA dehydratase 3	PTPLAD1	B-ind1, HSPC121	51495	NM_016395
HACD4	3-hydroxyacyl-CoA dehydratase 4	PTPLAD2	Em:AL662879.1, OTTHUMG00000021016	401494	NM_001010915
HACE1	HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1		KIAA1320	57531	XM_045095
HACL1	2-hydroxyacyl-CoA lyase 1	HPCL	2-HPCL, PHYH2	26061	NM_012260
HADH	hydroxyacyl-CoA dehydrogenase	HADHSC	HADH1, SCHAD	3033	NM_005327
HADHA	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha		GBP, LCEH, LCHAD, MTPA	3030	NM_000182
HADHAP1	hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), alpha subunit pseudogene 1	HADHAP		3031	NG_000863
HADHAP2	hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), alpha subunit pseudogene 2			399994	NG_005587
HADHB	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta		MTPB	3032	NM_000183
HADHSC~withdrawn	symbol withdrawn, see HADH				
HAGH	hydroxyacylglutathione hydrolase		GLO2, GLXII, HAGH1	3029	NM_005326
HAGHL	hydroxyacylglutathione hydrolase like		MGC2605	84264	NM_032304
HAGLR	HOXD antisense growth-associated long non-coding RNA	HOXD-AS1	Mdgt	401022	NR_033979
HAGLROS	HAGLR opposite strand lncRNA			102800310	
HAL	histidine ammonia-lyase	HIS		3034	
HAMP	hepcidin antimicrobial peptide		LEAP-1, HEPC, HFE2B, LEAP1	57817	NM_021175
HAND1	heart and neural crest derivatives expressed 1		eHand, Thing1, Hxt, bHLHa27	9421	NM_004821
HAND2	heart and neural crest derivatives expressed 2		dHand, Thing2, Hed, bHLHa26	9464	
HAND2-AS1	HAND2 antisense RNA 1		DEIN, NBLA00301, FLJ11539	79804	NR_136192
HAO1	hydroxyacid oxidase 1	GOX1	GOX	54363	
HAO2	hydroxyacid oxidase 2		HAOX2, GIG16	51179	NM_001005783
HAO2-IT1	HAO2 intronic transcript 1				
HAO3~withdrawn	entry withdrawn				
HAOL~withdrawn	entry withdrawn				
HAP1	huntingtin associated protein 1	HAP2	HLP, hHLP1, HIP5	9001	NM_003949
HAP2~withdrawn	symbol withdrawn, see HAP1				
HAPLN1	hyaluronan and proteoglycan link protein 1	CRTL1		1404	NM_001884
HAPLN2	hyaluronan and proteoglycan link protein 2		BRAL1	60484	NM_021817
HAPLN3	hyaluronan and proteoglycan link protein 3	EXLD1	HsT19883	145864	NM_178232
HAPLN4	hyaluronan and proteoglycan link protein 4		BRAL2, KIAA1926	404037	NM_023002
HAPP~withdrawn	entry withdrawn				
HAR1A	highly accelerated region 1A		HAR1F, NCRNA00064, LINC00064	768096	NR_003244
HAR1B	highly accelerated region 1B		HAR1R, NCRNA00065, LINC00065	768097	NR_003245
HARBI1	harbinger transposase derived 1	C11orf77	FLJ32675	283254	NM_173811
HARS	histidyl-tRNA synthetase	USH3B	HisRS	3035	NM_002109
HARS2	histidyl-tRNA synthetase 2, mitochondrial	HARSL	HO3, HARSR	23438	NM_012208
HAS1	hyaluronan synthase 1	HAS		3036	NM_001523
HAS2	hyaluronan synthase 2			3037	NM_005328
HAS2-AS1	HAS2 antisense RNA 1	HAS2AS, HAS2-AS	HASNT, NCRNA00077	594842	NR_002835
HAS3	hyaluronan synthase 3			3038	NM_138612
HASPIN	histone H3 associated protein kinase	GSG2		83903	NM_031965
HAT1	histone acetyltransferase 1		KAT1	8520	NM_003642
HAUS1	HAUS augmin like complex subunit 1	CCDC5	HEI-C, HsT1461, FLJ40084	115106	NM_138443
HAUS1P1	HAUS augmin like complex subunit 1 pseudogene 1			728921	
HAUS1P2	HAUS augmin like complex subunit 1 pseudogene 2			441484	
HAUS1P3	HAUS augmin like complex subunit 1 pseudogene 3			100271703	
HAUS2	HAUS augmin like complex subunit 2	C15orf25, CEP27	FLJ10460, HsT17025	55142	NM_018097
HAUS3	HAUS augmin like complex subunit 3	C4orf15	MGC4701, IT1, dgt3	79441	NM_024511
HAUS4	HAUS augmin like complex subunit 4	C14orf94	FLJ20424	54930	
HAUS4P1	HAUS augmin like complex subunit 4 pseudogene 1			100129402	
HAUS5	HAUS augmin like complex subunit 5	KIAA0841	dgt5	23354	
HAUS6	HAUS augmin like complex subunit 6	FAM29A	FLJ20060, KIAA1574, dgt6	54801	NM_017645
HAUS6P1	HAUS augmin like complex subunit 6 pseudogene 1			653175	
HAUS6P2	HAUS augmin like complex subunit 6 pseudogene 2			100133268	
HAUS6P3	HAUS augmin like complex subunit 6 pseudogene 3				
HAUS7	HAUS augmin like complex subunit 7	UCHL5IP	UIP1	55559	NM_017518
HAUS8	HAUS augmin like complex subunit 8	HICE1	MGC20533, NY-SAR-48	93323	NM_001011699
HAUS8P1	HAUS augmin like complex subunit 8 pseudogene 1			100420901	
HAUSP~withdrawn	symbol withdrawn, see USP7				
HAVCR1	hepatitis A virus cellular receptor 1		HAVCR-1, TIM-1, TIM1, HAVCR, TIMD1, CD365, KIM1	26762	NM_012206
HAVCR1P1	hepatitis A virus cellular receptor 1 pseudogene 1			100101266	
HAVCR1P2	hepatitis A virus cellular receptor 1 pseudogene 2			100421002	
HAVCR2	hepatitis A virus cellular receptor 2		Tim-3, TIM3, FLJ14428, TIMD3, CD366	84868	NM_032782
HAX1	HCLS1 associated protein X-1		HS1BP1, HCLSBP1	10456	NM_006118
HBA1	hemoglobin subunit alpha 1		HBA-T3	3039	NM_000558
HBA2	hemoglobin subunit alpha 2		HBA-T2	3040	NM_000517
HBAP1	hemoglobin subunit alpha pseudogene 1		HBA-T1, HBA3, HBA3P	3041	
HBB	hemoglobin subunit beta		CD113t-C, beta-globin	3043	NM_000518
HBBP1	hemoglobin subunit beta pseudogene 1		HBH1, HBHP	3044	NR_001589
HBD	hemoglobin subunit delta			3045	NM_000519
HBE1	hemoglobin subunit epsilon 1		HBE	3046	NM_005330
HBEGF	heparin binding EGF like growth factor	HEGFL, DTS, DTR		1839	NM_001945
HBG1	hemoglobin subunit gamma 1		HBG-T2	3047	NM_000559
HBG2	hemoglobin subunit gamma 2		HBG-T1	3048	NM_000184
HBM	hemoglobin subunit mu	HBAP2	HBK	3042	NM_001003938
HBP1	HMG-box transcription factor 1			26959	NM_012257
HBQ1	hemoglobin subunit theta 1		HBQ	3049	NM_005331
HBS1L	HBS1 like translational GTPase		ERFS, HBS1, HSPC276, KIAA1038, DKFZp434g247, EF-1a, eRF3c	10767	
HBZ	hemoglobin subunit zeta		HBZ1, HBZ-T1	3050	NM_005332
HBZP1	hemoglobin subunit zeta pseudogene 1	HBZP	HBZ-T2, HBZ2, HBZ2P	3051	
HCAR1	hydroxycarboxylic acid receptor 1	GPR104, GPR81	HCA1, FKSG80, TA-GPCR, LACR1	27198	
HCAR2	hydroxycarboxylic acid receptor 2	GPR109A	HCA2, HM74A, PUMAG, Puma-g, NIACR1	338442	NM_177551
HCAR3	hydroxycarboxylic acid receptor 3	GPR109B	HCA3, HM74	8843	NM_006018
HCCAT5	hepatocellular carcinoma associated transcript 5		HTA, FJ222407	283902	NR_027756
HCCS	holocytochrome c synthase	MLS	CCHL	3052	
HCF2~withdrawn	symbol withdrawn, see SERPIND1				
HCFC1	host cell factor C1	HFC1, MRX3	HCF-1, HCF1, CFF, VCAF, MGC70925, PPP1R89	3054	NM_005334
HCFC1-AS1	HCFC1 antisense RNA 1				
HCFC1R1	host cell factor C1 regulator 1		HPIP, FLJ20568	54985	NM_017885
HCFC2	host cell factor C2		HCF-2	29915	NM_013320
HCFC2P1	host cell factor C2 pseudogene 1			100419149	
HCG2P1~withdrawn	entry withdrawn				
HCG2P2~withdrawn	entry withdrawn				
HCG2P4~withdrawn	entry withdrawn				
HCG2P6~withdrawn	entry withdrawn				
HCG2P7~withdrawn	entry withdrawn				
HCG2P8~withdrawn	entry withdrawn				
HCG4	HLA complex group 4	HCG4P10	HCGIV-10, HCGIV.9	54435	NR_002139
HCG4B	HLA complex group 4B	HCG4P6	HCGIV-6, HCGIV.5, HCGIV-06, bCX67J3.3, Em:AB023056.16, bPG309N1.1, bQB90C11.3	80868	NR_001317
HCG4P1	HLA complex group 4 pseudogene 1		HCGIV-01	387503	
HCG4P2	HLA complex group 4 pseudogene 2		HCGIV-02	387504	
HCG4P3	HLA complex group 4 pseudogene 3		HCGIV-03, HCGIV.2, HCGIV-3	353001	NG_016112
HCG4P4	HLA complex group 4 pseudogene 4		HCGIV-04, HCGIV.3, HCGIV-4	353002	NG_016113
HCG4P5	HLA complex group 4 pseudogene 5		HCGIV-05, HCGIV.4, HCGIV-5	353003	NG_016115
HCG4P7	HLA complex group 4 pseudogene 7		HCGIV-07, HCGIV.C, HCGIV-7	353004	NG_016116
HCG4P8	HLA complex group 4 pseudogene 8		HCGIV-08, HCGIV.7, HCGIV-8	353005	NG_016117
HCG4P9	HLA complex group 4 pseudogene 9		HCGIV-09, HCGIV-9	353014	NG_002739
HCG4P10~withdrawn	symbol withdrawn, see HCG4				
HCG4P11	HLA complex group 4 pseudogene 11		HCGIV-11, HCGIV.10	353020	NG_002744
HCG8~withdrawn	symbol withdrawn, see ZNRD1ASP				
HCG9	HLA complex group 9		PERB11, HCGIX, HCGIX4, HCGIX-4	10255	NR_028032
HCG9P1	HLA complex group 9 pseudogene 1		HCGIX-1	387505	
HCG9P2	HLA complex group 9 pseudogene 2		HCGIX-2	387506	
HCG9P3	HLA complex group 9 pseudogene 3		HCGIX-3.2	387507	
HCG9P5	HLA complex group 9 pseudogene 5		HCGIX-5, dJ377H14.6	353019	NG_002743
HCG11	HLA complex group 11		bK14H9.3, FLJ14049, FLJ30357	493812	NR_026790
HCG12~withdrawn	symbol withdrawn, see ZNF322				
HCG13P	HLA complex group 13 pseudogene		dJ193B12.5	493813	
HCG14	HLA complex group 14		dJ111M5.4	414760	NR_104117
HCG15	HLA complex group 15	HCG16	dJ25J6.6, dJ25J6.7		
HCG16~withdrawn	symbol withdrawn, see HCG15				
HCG17	HLA complex group 17		NCRNA00046, LINC00046	414778	NR_052012
HCG18	HLA complex group 18		FLJ31598, FLJ25550, Em:AB014087.1	414777	NR_024052
HCG19P	HLA complex group 19 pseudogene		AB014085.4	414776	
HCG20	HLA complex group 20		AB023051.1, NCRNA00149		
HCG21	HLA complex group 21		AB023048.2, NCRNA00150		
HCG22	HLA complex group 22 (gene/pseudogene)		FLJ37114, PBMUCL2	285834	NM_001348249
HCG23	HLA complex group 23		dJ1077I5.3	414764	NR_044996
HCG24	HLA complex group 24		dJ1033B10.15		
HCG25	HLA complex group 25		dJ1033B10.16	414765	
HCG26	HLA complex group 26		bPG181B23.4, bCX205D4.4, NCRNA00191	352961	NR_002812
HCG27	HLA complex group 27		bPG299F13.9, bCX101P6.9, bQB115I13.2, FLJ40123	253018	NR_026791
HCHOLA3~withdrawn	symbol withdrawn, see PCSK9				
HCHOLA4	hypercholesterolemia, autosomal dominant 4			246132	
HCK	HCK proto-oncogene, Src family tyrosine kinase		JTK9	3055	
HCL1	hair color 1 (brown)		BRHC		
HCL2	hair color 2 (red)		RHC, RHA	3057	
HCL3	hair color 3 (brown)				
HCLS1	hematopoietic cell-specific Lyn substrate 1		HS1, CTTNL	3059	NM_005335
HCN1	hyperpolarization activated cyclic nucleotide gated potassium channel 1	BCNG1	BCNG-1, HAC-2	348980	NM_021072
HCN2	hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2	BCNG2	BCNG-2, HAC-1	610	NM_001194
HCN3	hyperpolarization activated cyclic nucleotide gated potassium channel 3		KIAA1535	57657	NM_020897
HCN4	hyperpolarization activated cyclic nucleotide gated potassium channel 4			10021	NM_005477
HCP5	HLA complex P5		D6S2650E, P5-1	10866	NR_040662
HCP5B	HLA complex P5B	HCP5P10	P5-10, P5.9	352990	
HCP5P2~withdrawn	entry withdrawn				
HCP5P3~withdrawn	entry withdrawn				
HCP5P6~withdrawn	entry withdrawn				
HCP5P8~withdrawn	entry withdrawn				
HCP5P12~withdrawn	entry withdrawn				
HCP5P13~withdrawn	entry withdrawn				
HCP5P14~withdrawn	entry withdrawn				
HCP5P15~withdrawn	entry withdrawn				
HCRT	hypocretin neuropeptide precursor		PPOX, OX	3060	NM_001524
HCRTR1	hypocretin receptor 1		OX1R	3061	NM_001525
HCRTR2	hypocretin receptor 2		OX2R	3062	
HCST	hematopoietic cell signal transducer	PIK3AP	DAP10, DKFZP586C1522, KAP10	10870	NM_014266
HCVS	human coronavirus sensitivity				
HDAC1	histone deacetylase 1	RPD3L1	HD1, GON-10	3065	NM_004964
HDAC1P1	histone deacetylase 1 pseudogene 1			100419595	NG_025534
HDAC1P2	histone deacetylase 1 pseudogene 2			100419489	NG_027210
HDAC2	histone deacetylase 2		RPD3, YAF1	3066	
HDAC2-AS2	HDAC2 and HS3ST5 antisense RNA 2		ENST00000421891	101927768	NR_125845
HDAC3	histone deacetylase 3		RPD3, HD3, RPD3-2	8841	NM_003883
HDAC4	histone deacetylase 4	BDMR	KIAA0288, HDAC-A, HDACA, HD4, HA6116, HDAC-4	9759	NM_006037
HDAC4-AS1	HDAC4 antisense RNA 1			101928111	NR_135575
HDAC5	histone deacetylase 5		KIAA0600, NY-CO-9, FLJ90614	10014	NM_001015053
HDAC6	histone deacetylase 6		KIAA0901, JM21, HD6, FLJ16239, PPP1R90	10013	NM_006044
HDAC7	histone deacetylase 7	HDAC7A	DKFZP586J0917	51564	
HDAC8	histone deacetylase 8	HDACL1, WTS, MRXS6	RPD3	55869	NM_018486
HDAC9	histone deacetylase 9		KIAA0744, HDAC, MITR, HD7, HDAC7B	9734	
HDAC10	histone deacetylase 10		DKFZP761B039	83933	NM_032019
HDAC11	histone deacetylase 11			79885	NM_024827
HDAC11-AS1	HDAC11 antisense RNA 1				
